"subj"	"block"	"trialN"	"condi"	"setID"	"RTs"	"error"	"correct"	"cond"	"response"	"tot"	"totresponse"	"Hit"	"FA"	"signal"
"1"	"1"	2	2	47	5.1808	-1	0	"RANDREG"	"FA"	18	1	0	1	0
"1"	"1"	3	2	38	NA	2	1	"RANDREG"	"CorRej"	18	0	0	0	0
"1"	"1"	5	2	59	NA	2	1	"RANDREG"	"CorRej"	18	0	0	0	0
"1"	"1"	7	2	2	NA	2	1	"RANDREG"	"CorRej"	18	0	0	0	0
"1"	"1"	8	2	14	NA	2	1	"RANDREG"	"CorRej"	18	0	0	0	0
"1"	"1"	10	2	45	NA	2	1	"RANDREG"	"CorRej"	18	0	0	0	0
"1"	"1"	14	2	64	NA	2	1	"RANDREG"	"CorRej"	18	0	0	0	0
"1"	"1"	15	2	48	NA	2	1	"RANDREG"	"CorRej"	18	0	0	0	0
"1"	"1"	24	2	52	6.1152	-1	0	"RANDREG"	"FA"	18	1	0	1	0
"1"	"1"	30	2	80	6.469	-1	0	"RANDREG"	"FA"	18	1	0	1	0
"1"	"1"	33	2	6	6.7744	-1	0	"RANDREG"	"FA"	18	1	0	1	0
"1"	"1"	34	2	66	NA	2	1	"RANDREG"	"CorRej"	18	0	0	0	0
"1"	"1"	35	2	33	6.5787	-1	0	"RANDREG"	"FA"	18	1	0	1	0
"1"	"1"	41	2	41	6.4795	-1	0	"RANDREG"	"FA"	18	1	0	1	0
"1"	"1"	43	2	84	7.2216	-1	0	"RANDREG"	"FA"	18	1	0	1	0
"1"	"1"	47	2	16	6.1213	-1	0	"RANDREG"	"FA"	18	1	0	1	0
"1"	"1"	49	2	3	7.1572	-1	0	"RANDREG"	"FA"	18	1	0	1	0
"1"	"1"	51	2	55	NA	2	1	"RANDREG"	"CorRej"	18	0	0	0	0
"1"	"1"	1	1	44	NA	0	0	"TARGET"	"Miss"	9	0	0	0	1
"1"	"1"	12	1	8	NA	0	0	"TARGET"	"Miss"	9	0	0	0	1
"1"	"1"	16	1	11	NA	0	0	"TARGET"	"Miss"	9	0	0	0	1
"1"	"1"	17	1	44	NA	0	0	"TARGET"	"Miss"	9	0	0	0	1
"1"	"1"	22	1	8	2.5944	1	1	"TARGET"	"Hit"	9	1	1	0	1
"1"	"1"	25	1	11	2.5996	1	1	"TARGET"	"Hit"	9	1	1	0	1
"1"	"1"	26	1	44	2.4066	1	1	"TARGET"	"Hit"	9	1	1	0	1
"1"	"1"	38	1	8	3.1204	1	1	"TARGET"	"Hit"	9	1	1	0	1
"1"	"1"	42	1	11	NA	0	0	"TARGET"	"Miss"	9	0	0	0	1
"2"	"1"	1	2	86	NA	2	1	"RANDREG"	"CorRej"	18	0	0	0	0
"2"	"1"	2	2	17	NA	2	1	"RANDREG"	"CorRej"	18	0	0	0	0
"2"	"1"	7	2	11	NA	2	1	"RANDREG"	"CorRej"	18	0	0	0	0
"2"	"1"	13	2	83	NA	2	1	"RANDREG"	"CorRej"	18	0	0	0	0
"2"	"1"	16	2	9	5.7623	-1	0	"RANDREG"	"FA"	18	1	0	1	0
"2"	"1"	18	2	48	NA	2	1	"RANDREG"	"CorRej"	18	0	0	0	0
"2"	"1"	21	2	23	NA	2	1	"RANDREG"	"CorRej"	18	0	0	0	0
"2"	"1"	26	2	81	NA	2	1	"RANDREG"	"CorRej"	18	0	0	0	0
"2"	"1"	27	2	37	NA	2	1	"RANDREG"	"CorRej"	18	0	0	0	0
"2"	"1"	28	2	27	NA	2	1	"RANDREG"	"CorRej"	18	0	0	0	0
"2"	"1"	30	2	49	NA	2	1	"RANDREG"	"CorRej"	18	0	0	0	0
"2"	"1"	35	2	62	NA	2	1	"RANDREG"	"CorRej"	18	0	0	0	0
"2"	"1"	38	2	21	NA	2	1	"RANDREG"	"CorRej"	18	0	0	0	0
"2"	"1"	40	2	65	NA	2	1	"RANDREG"	"CorRej"	18	0	0	0	0
"2"	"1"	41	2	73	5.5937	-1	0	"RANDREG"	"FA"	18	1	0	1	0
"2"	"1"	44	2	89	NA	2	1	"RANDREG"	"CorRej"	18	0	0	0	0
"2"	"1"	45	2	20	NA	2	1	"RANDREG"	"CorRej"	18	0	0	0	0
"2"	"1"	47	2	7	6.1437	-1	0	"RANDREG"	"FA"	18	1	0	1	0
"2"	"1"	3	1	41	NA	0	0	"TARGET"	"Miss"	9	0	0	0	1
"2"	"1"	6	1	27	2.0042	1	1	"TARGET"	"Hit"	9	1	1	0	1
"2"	"1"	10	1	36	NA	0	0	"TARGET"	"Miss"	9	0	0	0	1
"2"	"1"	19	1	41	NA	0	0	"TARGET"	"Miss"	9	0	0	0	1
"2"	"1"	33	1	27	NA	0	0	"TARGET"	"Miss"	9	0	0	0	1
"2"	"1"	36	1	36	NA	0	0	"TARGET"	"Miss"	9	0	0	0	1
"2"	"1"	46	1	41	NA	0	0	"TARGET"	"Miss"	9	0	0	0	1
"2"	"1"	50	1	27	NA	0	0	"TARGET"	"Miss"	9	0	0	0	1
"2"	"1"	51	1	36	NA	0	0	"TARGET"	"Miss"	9	0	0	0	1
"3"	"1"	2	2	26	NA	2	1	"RANDREG"	"CorRej"	18	0	0	0	0
"3"	"1"	3	2	72	NA	2	1	"RANDREG"	"CorRej"	18	0	0	0	0
"3"	"1"	4	2	20	6.7197	-1	0	"RANDREG"	"FA"	18	1	0	1	0
"3"	"1"	7	2	73	NA	2	1	"RANDREG"	"CorRej"	18	0	0	0	0
"3"	"1"	9	2	21	NA	2	1	"RANDREG"	"CorRej"	18	0	0	0	0
"3"	"1"	12	2	46	NA	2	1	"RANDREG"	"CorRej"	18	0	0	0	0
"3"	"1"	18	2	52	NA	2	1	"RANDREG"	"CorRej"	18	0	0	0	0
"3"	"1"	22	2	25	NA	2	1	"RANDREG"	"CorRej"	18	0	0	0	0
"3"	"1"	23	2	70	NA	2	1	"RANDREG"	"CorRej"	18	0	0	0	0
"3"	"1"	31	2	9	NA	2	1	"RANDREG"	"CorRej"	18	0	0	0	0
"3"	"1"	32	2	62	7.0259	-1	0	"RANDREG"	"FA"	18	1	0	1	0
"3"	"1"	43	2	45	NA	2	1	"RANDREG"	"CorRej"	18	0	0	0	0
"3"	"1"	44	2	23	NA	2	1	"RANDREG"	"CorRej"	18	0	0	0	0
"3"	"1"	45	2	87	NA	2	1	"RANDREG"	"CorRej"	18	0	0	0	0
"3"	"1"	46	2	10	NA	2	1	"RANDREG"	"CorRej"	18	0	0	0	0
"3"	"1"	49	2	34	NA	2	1	"RANDREG"	"CorRej"	18	0	0	0	0
"3"	"1"	50	2	56	NA	2	1	"RANDREG"	"CorRej"	18	0	0	0	0
"3"	"1"	54	2	29	5.3058	-1	0	"RANDREG"	"FA"	18	1	0	1	0
"3"	"1"	1	1	30	NA	0	0	"TARGET"	"Miss"	9	0	0	0	1
"3"	"1"	13	1	4	NA	0	0	"TARGET"	"Miss"	9	0	0	0	1
"3"	"1"	14	1	40	NA	0	0	"TARGET"	"Miss"	9	0	0	0	1
"3"	"1"	29	1	30	NA	0	0	"TARGET"	"Miss"	9	0	0	0	1
"3"	"1"	39	1	4	NA	0	0	"TARGET"	"Miss"	9	0	0	0	1
"3"	"1"	40	1	40	NA	0	0	"TARGET"	"Miss"	9	0	0	0	1
"3"	"1"	51	1	30	NA	0	0	"TARGET"	"Miss"	9	0	0	0	1
"3"	"1"	52	1	4	NA	0	0	"TARGET"	"Miss"	9	0	0	0	1
"3"	"1"	53	1	40	NA	0	0	"TARGET"	"Miss"	9	0	0	0	1
"4"	"1"	6	2	7	NA	2	1	"RANDREG"	"CorRej"	18	0	0	0	0
"4"	"1"	8	2	55	NA	2	1	"RANDREG"	"CorRej"	18	0	0	0	0
"4"	"1"	9	2	31	NA	2	1	"RANDREG"	"CorRej"	18	0	0	0	0
"4"	"1"	10	2	48	NA	2	1	"RANDREG"	"CorRej"	18	0	0	0	0
"4"	"1"	11	2	73	NA	2	1	"RANDREG"	"CorRej"	18	0	0	0	0
"4"	"1"	16	2	71	5.6004	-1	0	"RANDREG"	"FA"	18	1	0	1	0
"4"	"1"	18	2	56	NA	2	1	"RANDREG"	"CorRej"	18	0	0	0	0
"4"	"1"	19	2	2	NA	2	1	"RANDREG"	"CorRej"	18	0	0	0	0
"4"	"1"	20	2	82	6.5933	-1	0	"RANDREG"	"FA"	18	1	0	1	0
"4"	"1"	21	2	52	NA	2	1	"RANDREG"	"CorRej"	18	0	0	0	0
"4"	"1"	23	2	32	NA	2	1	"RANDREG"	"CorRej"	18	0	0	0	0
"4"	"1"	25	2	3	6.1919	-1	0	"RANDREG"	"FA"	18	1	0	1	0
"4"	"1"	26	2	12	NA	2	1	"RANDREG"	"CorRej"	18	0	0	0	0
"4"	"1"	34	2	21	NA	2	1	"RANDREG"	"CorRej"	18	0	0	0	0
"4"	"1"	35	2	29	NA	2	1	"RANDREG"	"CorRej"	18	0	0	0	0
"4"	"1"	37	2	39	NA	2	1	"RANDREG"	"CorRej"	18	0	0	0	0
"4"	"1"	40	2	35	NA	2	1	"RANDREG"	"CorRej"	18	0	0	0	0
"4"	"1"	48	2	43	6.1917	-1	0	"RANDREG"	"FA"	18	1	0	1	0
"4"	"1"	14	1	2	NA	0	0	"TARGET"	"Miss"	9	0	0	0	1
"4"	"1"	15	1	39	2.3086	1	1	"TARGET"	"Hit"	9	1	1	0	1
"4"	"1"	22	1	32	2.605	1	1	"TARGET"	"Hit"	9	1	1	0	1
"4"	"1"	29	1	2	2.9416	1	1	"TARGET"	"Hit"	9	1	1	0	1
"4"	"1"	31	1	39	2.7143	1	1	"TARGET"	"Hit"	9	1	1	0	1
"4"	"1"	36	1	32	2.7105	1	1	"TARGET"	"Hit"	9	1	1	0	1
"4"	"1"	41	1	2	NA	0	0	"TARGET"	"Miss"	9	0	0	0	1
"4"	"1"	47	1	39	NA	0	0	"TARGET"	"Miss"	9	0	0	0	1
"4"	"1"	49	1	32	NA	0	0	"TARGET"	"Miss"	9	0	0	0	1
"5"	"1"	2	2	69	7.2243	-1	0	"RANDREG"	"FA"	18	1	0	1	0
"5"	"1"	5	2	66	6.846	-1	0	"RANDREG"	"FA"	18	1	0	1	0
"5"	"1"	19	2	10	NA	2	1	"RANDREG"	"CorRej"	18	0	0	0	0
"5"	"1"	21	2	38	5.2688	-1	0	"RANDREG"	"FA"	18	1	0	1	0
"5"	"1"	24	2	25	6.6821	-1	0	"RANDREG"	"FA"	18	1	0	1	0
"5"	"1"	26	2	49	4.9202	-1	0	"RANDREG"	"FA"	18	1	0	1	0
"5"	"1"	27	2	50	NA	2	1	"RANDREG"	"CorRej"	18	0	0	0	0
"5"	"1"	30	2	53	6.0699	-1	0	"RANDREG"	"FA"	18	1	0	1	0
"5"	"1"	31	2	12	6.2047	-1	0	"RANDREG"	"FA"	18	1	0	1	0
"5"	"1"	33	2	32	4.0975	-1	0	"RANDREG"	"FA"	18	1	0	1	0
"5"	"1"	37	2	18	NA	2	1	"RANDREG"	"CorRej"	18	0	0	0	0
"5"	"1"	39	2	37	NA	2	1	"RANDREG"	"CorRej"	18	0	0	0	0
"5"	"1"	40	2	52	6.5054	-1	0	"RANDREG"	"FA"	18	1	0	1	0
"5"	"1"	44	2	58	NA	2	1	"RANDREG"	"CorRej"	18	0	0	0	0
"5"	"1"	45	2	19	NA	2	1	"RANDREG"	"CorRej"	18	0	0	0	0
"5"	"1"	47	2	82	6.9254	-1	0	"RANDREG"	"FA"	18	1	0	1	0
"5"	"1"	48	2	90	NA	2	1	"RANDREG"	"CorRej"	18	0	0	0	0
"5"	"1"	53	2	23	6.4266	-1	0	"RANDREG"	"FA"	18	1	0	1	0
"5"	"1"	1	1	43	NA	0	0	"TARGET"	"Miss"	9	0	0	0	1
"5"	"1"	4	1	1	2.384	1	1	"TARGET"	"Hit"	9	1	1	0	1
"5"	"1"	11	1	24	3.675	1	1	"TARGET"	"Hit"	9	1	1	0	1
"5"	"1"	12	1	43	NA	0	0	"TARGET"	"Miss"	9	0	0	0	1
"5"	"1"	20	1	1	1.1606	1	1	"TARGET"	"Hit"	9	1	1	0	1
"5"	"1"	25	1	24	NA	0	0	"TARGET"	"Miss"	9	0	0	0	1
"5"	"1"	28	1	43	2.451	1	1	"TARGET"	"Hit"	9	1	1	0	1
"5"	"1"	46	1	1	NA	0	0	"TARGET"	"Miss"	9	0	0	0	1
"5"	"1"	49	1	24	NA	0	0	"TARGET"	"Miss"	9	0	0	0	1
